Time, s;x;y;z
60.3;3983.9578;805.32324;749.7479
60.4;3990.4856;805.8496;751.6645
60.5;3997.0078;806.3805;753.5803
60.6;4003.5244;806.9158;755.49536
60.7;4010.0352;807.4552;757.4096
60.8;4016.5403;807.9987;759.3231
60.9;4023.0393;808.5461;761.2358
61,00;4029.533;809.0971;763.1476
61.1;4036.0205;809.6517;765.0586
61.2;4042.5024;810.2096;766.9688
61.3;4048.9783;810.7707;768.8781
61.4;4055.4482;811.33484;770.78656
61.5;4061.9126;811.9018;772.6941
61.6;4068.3708;812.47144;774.60077
61.7;4074.8232;813.0436;776.5066
61.8;4081.2698;813.6181;778.4115
61.9;4087.7104;814.1947;780.3155
62,00;4094.1453;814.7734;782.2185
62.1;4100.574;815.35376;784.12067
62.2;4106.997;815.93585;786.0219
62.3;4113.414;816.5194;787.92224
62.4;4119.825;817.10425;789.8216
62.5;4126.2305;817.6902;791.72003
62.6;4132.63;818.2771;793.61755
62.7;4139.024;818.86475;795.51416
62.8;4145.4116;819.453;797.4098
62.9;4151.794;820.04175;799.30457
63,00;4158.1704;820.63074;801.19836
63.1;4164.541;821.2198;803.0912
63.2;4170.906;821.8088;804.98315
63.3;4177.265;822.3975;806.87415
63.4;4183.6187;822.98584;808.7643
63.5;4189.967;823.5736;810.6535
63.6;4196.309;824.1606;812.5418
63.7;4202.6465;824.7467;814.4292
63.8;4208.978;825.3317;816.3157
63.9;4215.3037;825.9155;818.2013
64,00;4221.6245;826.49786;820.08606
64.1;4227.94;827.0787;821.97
64.2;4234.25;827.6578;823.85297
64.3;4240.555;828.23505;825.73517
64.4;4246.8545;828.81024;827.6165
64.5;4253.1494;829.38324;829.497
64.6;4259.4385;829.95386;831.3768
64.7;4265.723;830.52203;833.2557
64.8;4272.003;831.0876;835.1338
64.9;4278.2773;831.6503;837.01117
65,00;4284.5474;832.2101;838.8878
65.1;4290.8125;832.76685;840.7637
65.2;4297.073;833.3203;842.6388
65.3;4303.329;833.8704;844.51324
65.4;4309.58;834.41705;846.387
65.5;4315.827;834.96;848.2601
65.6;4322.07;835.4992;850.1325
65.7;4328.3076;836.03455;852.0043
65.8;4334.542;836.5658;853.8754
65.9;4340.7715;837.09283;855.74603
66,00;4346.9976;837.61566;857.616
66.1;4353.219;838.13403;859.4854
66.2;4359.437;838.6478;861.3543
66.3;4365.651;839.15704;863.2227
66.4;4371.8613;839.66144;865.0906
66.5;4378.068;840.16095;866.95795
66.6;4384.271;840.65546;868.8249
66.7;4390.4707;841.14484;870.6914
66.8;4396.667;841.629;872.55756
66.9;4402.86;842.1079;874.4233
67,00;4409.05;842.58136;876.28864
67.1;4415.237;843.04926;878.1537
67.2;4421.4204;843.5116;880.0184
67.3;4427.601;843.9682;881.8828
67.4;4433.7793;844.419;883.747
67.5;4439.9546;844.86395;885.61096
67.6;4446.127;845.30286;887.4747
67.7;4452.2974;845.7358;889.33826
67.8;4458.465;846.16254;891.20166
67.9;4464.6304;846.5831;893.0649
68,00;4470.7935;846.99744;894.9281
68.1;4476.9546;847.40533;896.79114
68.2;4483.114;847.8069;898.6542
68.3;4489.2705;848.2019;900.5172
68.4;4495.426;848.59045;902.38025
68.5;4501.5796;848.97235;904.2433
68.6;4507.7314;849.3476;906.1064
68.7;4513.8823;849.7161;907.9696
68.8;4520.0312;850.07794;909.83295
68.9;4526.179;850.4329;911.6964
69,00;4532.3257;850.7811;913.56006
69.1;4538.471;851.1224;915.4239
